source,scenario,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,peer_phase,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,provenance,valid_for_default,default_readiness
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,900,46,183.03636932373047,4,any_peer,183.03636932373047,183.0382080078125,182.97276306152344,183.0382080078125,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,901,46,183.0581283569336,4,any_peer,183.0581283569336,183.06997680664062,183.00515747070312,183.06997680664062,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,1027,50,431.5847930908203,8,any_peer,431.5847930908203,707.8328857421875,155.3322296142578,707.8344116210938,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,1588,47,246.7354507446289,8,any_peer,246.7354507446289,246.84857177734375,246.6216278076172,246.85130310058594,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,1597,56,280.2584533691406,8,any_peer,280.2584533691406,280.71868896484375,279.7927551269531,280.7199401855469,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,1600,47,249.28228759765625,8,any_peer,249.28228759765625,249.4119110107422,249.10723876953125,249.4121551513672,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,1803,46,273.2944030761719,8,any_peer,273.2944030761719,273.31298828125,273.2619934082031,273.31591796875,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,2017,44,232.56475067138672,4,any_peer,232.56475067138672,232.56959533691406,232.55941772460938,232.56959533691406,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,2018,45,287.3419952392578,12,any_peer,287.3419952392578,741.8226318359375,287.29205322265625,741.8231201171875,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,2401,55,386.92372131347656,8,any_peer,386.92372131347656,387.10296630859375,386.7416687011719,387.10321044921875,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,3309,54,507.22711181640625,8,any_peer,507.22711181640625,507.3538513183594,507.08819580078125,507.3570556640625,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,3495,46,473.9413757324219,8,any_peer,473.9413757324219,474.02069091796875,473.86517333984375,474.0217590332031,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,3566,55,546.73681640625,4,any_peer,546.73681640625,546.7520141601562,546.727294921875,546.7520141601562,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,3567,55,546.6893615722656,4,any_peer,546.6893615722656,546.6987915039062,546.6864013671875,546.6987915039062,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,6245,43,884.2842712402344,4,any_peer,884.2842712402344,884.2861938476562,884.2835693359375,884.2861938476562,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,6246,43,884.0638122558594,4,any_peer,884.0638122558594,884.0827026367188,884.05078125,884.0827026367188,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,8000,1,1105.8432006835938,16,any_peer,1105.8432006835938,1107.1527099609375,1104.4300537109375,1107.168212890625,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
